sep=,
Timestamp,KM_24SF0101\-141\-1.THRLY\[1\] + KS_23SF0201-141\-1.THRLY\[1\] + KN_22SF0301\-141\-1.HRLY\[22\]
2022-06-17 13:05:00,NaN
2022-06-19 14:03:35,NaN
2022-06-21 15:02:10,NaN
2022-06-23 16:00:45,NaN
2022-06-25 16:59:20,NaN
2022-06-27 17:57:55,NaN
2022-06-29 18:56:30,NaN
2022-07-01 19:55:05,NaN
2022-07-03 20:53:40,NaN
2022-07-05 21:52:15,NaN
2022-07-07 22:50:50,NaN
2022-07-09 23:49:25,NaN
2022-07-12 00:48:00,NaN
2022-07-14 01:46:35,NaN
2022-07-16 02:45:10,NaN
2022-07-18 03:43:45,NaN
2022-07-20 04:42:20,NaN
2022-07-22 05:40:55,NaN
2022-07-24 06:39:30,NaN
2022-07-26 07:38:05,NaN
2022-07-28 08:36:40,NaN
2022-07-30 09:35:15,NaN
2022-08-01 10:33:50,NaN
2022-08-03 11:32:25,NaN
2022-08-05 12:31:00,NaN
2022-08-07 13:29:35,NaN
2022-08-09 14:28:10,NaN
2022-08-11 15:26:45,NaN
2022-08-13 16:25:20,NaN
2022-08-15 17:23:55,NaN
2022-08-17 18:22:30,NaN
2022-08-19 19:21:05,NaN
2022-08-21 20:19:40,NaN
2022-08-23 21:18:15,NaN
2022-08-25 22:16:50,NaN
2022-08-27 23:15:25,NaN
2022-08-30 00:14:00,NaN
2022-09-01 01:12:35,NaN
2022-09-03 02:11:10,NaN
2022-09-05 03:09:45,NaN
2022-09-07 04:08:20,NaN
2022-09-09 05:06:55,NaN
2022-09-11 06:05:30,NaN
2022-09-13 07:04:05,NaN
2022-09-15 08:02:40,NaN
2022-09-17 09:01:15,NaN
2022-09-19 09:59:50,NaN
2022-09-21 10:58:25,NaN
2022-09-23 11:57:00,NaN
2022-09-25 12:55:35,NaN
2022-09-27 13:54:10,NaN
2022-09-29 14:52:45,NaN
2022-10-01 15:51:20,NaN
2022-10-03 16:49:55,NaN
2022-10-05 17:48:30,NaN
2022-10-07 18:47:05,NaN
2022-10-09 19:45:40,NaN
2022-10-11 20:44:15,NaN
2022-10-13 21:42:50,NaN
2022-10-15 22:41:25,NaN
2022-10-17 23:40:00,NaN
2022-10-20 00:38:35,NaN
2022-10-22 01:37:10,NaN
2022-10-24 02:35:45,NaN
2022-10-26 03:34:20,NaN
2022-10-28 04:32:55,NaN
2022-10-30 05:31:30,NaN
2022-11-01 06:30:05,NaN
2022-11-03 07:28:40,NaN
2022-11-05 08:27:15,NaN
2022-11-07 09:25:50,NaN
2022-11-09 10:24:25,NaN
2022-11-11 11:23:00,NaN
2022-11-13 12:21:35,NaN
2022-11-15 13:20:10,NaN
2022-11-17 14:18:45,NaN
2022-11-19 15:17:20,NaN
2022-11-21 16:15:55,NaN
2022-11-23 17:14:30,NaN
2022-11-25 18:13:05,NaN
2022-11-27 19:11:40,NaN
2022-11-29 20:10:15,NaN
2022-12-01 21:08:50,NaN
2022-12-03 22:07:25,NaN
2022-12-05 23:06:00,NaN
2022-12-08 00:04:35,NaN
2022-12-10 01:03:10,NaN
2022-12-12 02:01:45,NaN
2022-12-14 03:00:20,NaN
2022-12-16 03:58:55,NaN
2022-12-18 04:57:30,NaN
2022-12-20 05:56:05,NaN
2022-12-22 06:54:40,NaN
2022-12-24 07:53:15,NaN
2022-12-26 08:51:50,NaN
2022-12-28 09:50:25,NaN
2022-12-30 10:49:00,NaN
2023-01-01 11:47:35,NaN
2023-01-03 12:46:10,NaN
2023-01-05 13:44:45,NaN
2023-01-07 14:43:20,NaN
2023-01-09 15:41:55,NaN
2023-01-11 16:40:30,NaN
2023-01-13 17:39:05,NaN
2023-01-15 18:37:40,NaN
2023-01-17 19:36:15,NaN
2023-01-19 20:34:50,NaN
2023-01-21 21:33:25,NaN
2023-01-23 22:32:00,NaN
2023-01-25 23:30:35,NaN
2023-01-28 00:29:10,NaN
2023-01-30 01:27:45,NaN
2023-02-01 02:26:20,NaN
2023-02-03 03:24:55,NaN
2023-02-05 04:23:30,NaN
2023-02-07 05:22:05,NaN
2023-02-09 06:20:40,NaN
2023-02-11 07:19:15,NaN
2023-02-13 08:17:50,NaN
2023-02-15 09:16:25,NaN
2023-02-17 10:15:00,NaN
2023-02-19 11:13:35,NaN
2023-02-21 12:12:10,NaN
2023-02-23 13:10:45,NaN
2023-02-25 14:09:20,NaN
2023-02-27 15:07:55,NaN
2023-03-01 16:06:30,NaN
2023-03-03 17:05:05,NaN
2023-03-05 18:03:40,NaN
2023-03-07 19:02:15,NaN
2023-03-09 20:00:50,NaN
2023-03-11 20:59:25,NaN
2023-03-13 21:58:00,NaN
2023-03-15 22:56:35,NaN
2023-03-17 23:55:10,NaN
2023-03-20 00:53:45,NaN
2023-03-22 01:52:20,NaN
2023-03-24 02:50:55,NaN
2023-03-26 03:49:30,NaN
2023-03-28 04:48:05,NaN
2023-03-30 05:46:40,NaN
2023-04-01 06:45:15,NaN
2023-04-03 07:43:50,NaN
2023-04-05 08:42:25,NaN
2023-04-07 09:41:00,NaN
2023-04-09 10:39:35,NaN
2023-04-11 11:38:10,NaN
2023-04-13 12:36:45,NaN
2023-04-15 13:35:20,NaN
2023-04-17 14:33:55,NaN
2023-04-19 15:32:30,NaN
2023-04-21 16:31:05,NaN
2023-04-23 17:29:40,NaN
2023-04-25 18:28:15,NaN
2023-04-27 19:26:50,NaN
2023-04-29 20:25:25,NaN
2023-05-01 21:24:00,NaN
2023-05-03 22:22:35,NaN
2023-05-05 23:21:10,NaN
2023-05-08 00:19:45,NaN
2023-05-10 01:18:20,NaN
2023-05-12 02:16:55,NaN
2023-05-14 03:15:30,NaN
2023-05-16 04:14:05,NaN
2023-05-18 05:12:40,NaN
2023-05-20 06:11:15,NaN
2023-05-22 07:09:50,NaN
2023-05-24 08:08:25,NaN
2023-05-26 09:07:00,NaN
2023-05-28 10:05:35,NaN
2023-05-30 11:04:10,NaN
2023-06-01 12:02:45,NaN
2023-06-03 13:01:20,NaN
2023-06-05 13:59:55,NaN
2023-06-07 14:58:30,NaN
2023-06-09 15:57:05,NaN
2023-06-11 16:55:40,NaN
2023-06-13 17:54:15,NaN
2023-06-15 18:52:50,NaN
2023-06-17 19:51:25,NaN
2023-06-19 20:50:00,NaN
2023-06-21 21:48:35,NaN
2023-06-23 22:47:10,NaN
